t,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation
1056,-0.028223682480722583,-0.16616459821961221,1.573752021860168,0.5652606316666164,0.9104627334204117,-1.0113488328995552,0.04973460530564247,-0.050940416114560294,-0.19094834261055654,0.2566738592018061,0.3601965262961878,0.07573613261854348,-4.6584707638639214e-05,0.4352277195348418,-0.023842582001809096,-0.1454249353541221,0.13842244911660279,-0.06820164802227115,0.039864799132794386,0.00020378799072531118,0.05264537339515292,-0.009086892945621887,-0.0015764977796886642,-0.7899597812268832,-0.1297711727494519,-0.23126626368228242,-0.32433696862478734,0.009777900461733794,-0.0790128118023716,-0.08309350114702546,-1.0759087125633597,0.4471016141935488,0.9813630783083552,-0.09320981394519232,-0.8893275853827545,0.0,-0.2268486208336241,0.8773838098755842,-0.287956641777325,0.555477405604168,0.15488908970824478,-0.7813896034551396,0.0,0.0012436401820437172,0.003997256805111027,0.0003699584273734614
1057,-0.03197737690573298,-0.16704941277253,1.572775156771604,0.5636459622503711,0.9105414774819163,-1.011701045696346,0.049850863346273706,-0.05606663669205154,-0.18802413425993503,0.26196091880305855,0.35945135997891187,0.07031724346902435,-4.6584707638639214e-05,0.4340361886961257,-0.01942922430744634,-0.1455388525625146,0.14066044965375224,-0.067703400463525,0.03638505459488407,0.00020378799072531118,0.05265158806730531,-0.009066818316813578,-0.0015746387544749703,-0.7507651254384647,-0.17696909593520146,-0.19537984654948704,-0.32294517069692497,0.01574936276621101,-0.0704450215238065,0.023252420835374203,-1.0252799506648165,0.5848621119862439,1.0574488797723496,-0.14903847258708233,-1.0838157109884086,0.0,-0.23831449721430364,0.8827023907264089,-0.022784238023890246,0.4476157523130586,0.0996529947800504,-0.6959732329545752,0.0,0.001242977874534329,0.004015066094614049,0.0003718180383711659
1058,-0.03547722352053722,-0.1683413674252973,1.5718679837729514,0.5620522805372563,0.9106395149090477,-1.0119783993800453,0.05074156669516091,-0.06093023107311639,-0.18438092813689003,0.26766191922750954,0.3583864958550277,0.06404125967204675,-4.6584707638639214e-05,0.43297142526362703,-0.015050113863976745,-0.14448911723299254,0.1424313478132281,-0.06753071541567536,0.03332394688340841,0.00020378799072531118,0.05265782339910098,-0.009046659243538835,-0.0015727698661029458,-0.699993788858191,-0.2583999620435171,-0.18144094138026456,-0.3187474833549642,0.019608170763072582,-0.05547267559818708,0.17814689629508412,-0.9727528754746348,0.7286666926699793,1.140239938091347,-0.21298026877630383,-1.2552406320540088,0.0,-0.21296012979531292,0.8758527011402213,0.2099544041450907,0.35419201146986456,0.03453821673558787,-0.6122429411606447,0.0,0.001247109947611644,0.004031955578215049,0.0003737907389863233
1059,-0.038816108691496355,-0.16983297195381356,1.5708361642577173,0.5604740465105833,0.9107691033790714,-1.0122136554863008,0.05223485814950259,-0.06573790104743146,-0.1802823710973423,0.2738967259208544,0.35697785136740673,0.057545050372001694,-4.6584707638639214e-05,0.431850095492463,-0.010659202371857208,-0.14275235832836947,0.1438536741138534,-0.0673034777689718,0.0305328450320315,0.00020378799072531118,0.05266406235471588,-0.009026410545293712,-0.0015708890809241088,-0.6678003748780975,-0.29833133285829355,-0.20637111604588246,-0.31565783807858416,0.02591859990105911,-0.04705286582367511,0.2986687298159378,-0.9615676031816051,0.8197400591296756,1.2470049234763363,-0.28173874474186117,-1.2992872721676985,0.0,-0.22427379295892308,0.8782129933661803,0.3473639218467028,0.2844752029863026,0.04544911785973764,-0.5582398816479889,0.0,0.0012478347367903403,0.004049881198820226,0.0003761701835141917
1060,-0.04213396374525254,-0.17110608013317463,1.5695557182030693,0.5588978689645939,0.9109545365417433,-1.0124774422511438,0.053882478120322,-0.07070432949306925,-0.17599672457277124,0.28073878442698197,0.3551038136143117,0.051294998453389945,-4.658470763859806e-05,0.43028005480386955,-0.006181903819127576,-0.1408847305771258,0.1450362716332458,-0.0666004689192823,0.027786473831504347,0.00020378799072523078,0.052670170775770575,-0.009006078969815128,-0.001568995427747615,-0.6635942044251529,-0.25463053561481835,-0.25609816196809154,-0.3152465275659005,0.037087928816546614,-0.05275919698652067,0.32953551195465963,-0.9933204072572017,0.8571592639951244,1.3684595310647738,-0.37482065119749597,-1.2500540751024172,8.230737419257095e-15,-0.31401911318662945,0.8954910093823664,0.3735386060177029,0.23652777090063543,0.14060668436537163,-0.5492934387856159,-1.6079280214402467e-14,0.0012217269122397829,0.0040664572248706645,0.0003787438730000958
1061,-0.04545856402954291,-0.17193839262707453,1.5679950490223498,0.5573304765422606,0.9112063718092097,-1.012804751494963,0.05542805157476026,-0.07581525726984766,-0.17146118866904503,0.28814344418856663,0.35253407937815123,0.04506992687638679,-4.658470763859806e-05,0.4281055934385396,-0.001668290927892409,-0.13924255790266482,0.1460595167718808,-0.06527462036120064,0.024770781919230718,0.00020378799072523078,0.05267610347573641,-0.008985680113165652,-0.0015670918998507452,-0.6649432976849485,-0.16646831711268717,-0.31214474609972664,-0.3134894414217231,0.050368813963520644,-0.06546413683964139,0.3091254953158549,-1.0222212836169662,0.9071388866935385,1.4809837150555671,-0.513964811120498,-1.2450578321540526,0.0,-0.43490747377459066,0.9027541309411353,0.3284460146033082,0.20465618078634004,0.2651789800438604,-0.6031594638382441,0.0,0.0011865814660784214,0.004079913929382568,0.00038071888610515333
1062,-0.04857549171688681,-0.17256941316494231,1.5661651258747202,0.5558211311119104,0.9115044888172874,-1.013145592421336,0.0571712335289874,-0.08072403833369297,-0.16635128262030663,0.29607698658738596,0.34911199121502473,0.03833017546738173,-4.658470763859806e-05,0.4256917037723731,0.002575291030179664,-0.13777072793815437,0.14697589643601974,-0.0634610049588443,0.0210882554879073,0.00020378799072523078,0.05268194654541899,-0.00896513238424298,-0.0015651698852890519,-0.623407326547336,-0.126208518762218,-0.36599742171847965,-0.30187963724396677,0.059625485621187295,-0.06817056794447773,0.3486485766682465,-0.9817905279110691,1.0220169308665108,1.5867639396897575,-0.6844415549473077,-1.3479973964560912,0.0,-0.48279480768046223,0.8487460566403362,0.2943762818218003,0.18328233883732278,0.3627357586635265,-0.7365310291967444,0.0,0.001168654782860729,0.0041096894247224965,0.0003844163483020485
1063,-0.051180315462901,-0.17336608722231941,1.5641644402479087,0.5544233711944071,0.9118199493390544,-1.0134325367304657,0.059534553203638964,-0.08502725810474693,-0.1605525439206356,0.3045757092670575,0.34498828415750826,0.03105669238762631,-4.658470763859806e-05,0.4234786316584408,0.006194912749271981,-0.1362190870294999,0.1477710562788237,-0.0613525957625724,0.01667718874767207,0.00020378799072523078,0.05268779576072813,-0.008944408631613133,-0.0015632274604277286,-0.5209829583866614,-0.15934038067540177,-0.40015111128070774,-0.2795617546290691,0.06309430959997113,-0.05739086772815366,0.4726804558647744,-0.8606740361385858,1.159788276380903,1.699803946788416,-0.824770238536202,-1.4547474616908942,0.0,-0.44262989340591946,0.723949647011187,0.310339028574018,0.15903752717556077,0.42169657822114887,-0.8822441838858459,0.0,0.0011698839511347578,0.0041448953966624945,0.00038849855090750324
1064,-0.05318933445354612,-0.1742846522488202,1.5621926429107078,0.553133436252821,0.9121521484595905,-1.013683164415997,0.06236788776187236,-0.08869024457855881,-0.15443237531789292,0.31366521373672646,0.34060354228312645,0.02401540234764153,-4.658470763859806e-05,0.42132577211056316,0.009158641838745981,-0.13464127623932057,0.14831955391729337,-0.059086637582916185,0.012195802924595297,0.00020378799072523078,0.052693635209836824,-0.008923496030573796,-0.0015612645754844235,-0.4018178423023252,-0.18371942658660562,-0.3943732514131721,-0.2579960056883671,0.06644214636600611,-0.050127289134798296,0.5666867182496731,-0.7326229010991393,1.224076503971133,1.817964434685062,-0.876979026689536,-1.4083072305767537,0.0,-0.4305869592752684,0.5927665360289454,0.3155731878211859,0.10970336200108964,0.45320747625406427,-0.8963084920241144,0.0,0.0011679306427744066,0.004182666398716834,0.0003925907103313784
1065,-0.054714995911041404,-0.17502961939502032,1.5603625879057192,0.5519121984750117,0.9125181211012213,-1.0139622432025919,0.0652390134806395,-0.09198094557610219,-0.14845053641689462,0.3233641864750052,0.3363052469930868,0.01808598365510604,-4.658470763859806e-05,0.41876058871188204,0.01166068759858055,-0.13352900477417973,0.14842457771191986,-0.056866719276638215,0.008660209291398468,0.00020378799072523078,0.05269933591144129,-0.008902409703005184,-0.0015592834474498843,-0.3051429567311956,-0.14899863697959911,-0.3660237941120431,-0.24425609270115617,0.07319708668088291,-0.05581770823675599,0.5742452145379001,-0.658163203360458,1.1964095966197987,1.9398623489331925,-0.8596891055108349,-1.1859251884804818,0.0,-0.5130546118117119,0.500426642674777,0.22246206843162947,0.02100549310072264,0.4439991797337924,-0.7071434424284829,0.0,0.0011401801720054981,0.004217412919018408,0.00039623945610766384
1066,-0.05584823248320279,-0.1755811426537448,1.5585490746901887,0.5507457692414631,0.9129170710941505,-1.0142729114663616,0.0681820943361265,-0.09508775926928181,-0.14264800701330493,0.3337286433276557,0.33204170269624644,0.013372950409266103,-4.658470763859806e-05,0.4156876778984204,0.013791770226420351,-0.13341830798508383,0.14793391351217383,-0.055005789244922616,0.00665403453141887,0.00020378799072523078,0.05270489382116464,-0.008881189811344873,-0.001557287231227285,-0.22665523639363405,-0.11030850720283977,-0.36271532058403005,-0.23329400070645803,0.07979278747079996,-0.062135824499926655,0.5886367448887705,-0.6213844570119696,1.1605464436637865,2.0729638239160035,-0.852738663941971,-0.9426395959225894,0.0,-0.6146036440681601,0.4262314230347752,0.02214013165202797,-0.09813626996807817,0.3721990152912619,-0.4012489762864473,0.0,0.0011116207975863301,0.004244126671046187,0.0003992571991946019
1067,-0.05674797086302194,-0.1760886738348484,1.5565346836420126,0.5496262596861587,0.9133372771519601,-1.0145795817337626,0.07147629183547198,-0.09811553929508877,-0.13674517728156121,0.34472163039177134,0.32754957330920587,0.008980472671275934,-4.658470763859806e-05,0.41230993548187717,0.015657247185774603,-0.13449363288335947,0.1468669746952967,-0.05364806556689417,0.006043211061723189,0.00020378799072523078,0.05271038707465143,-0.008859842442676054,-0.0015552751521081432,-0.17995396564142452,-0.10150978414928616,-0.40289229136221044,-0.22390973706266007,0.08404414903872479,-0.06133619727795579,0.6588625281633943,-0.6055771710476267,1.1806072104503291,2.1986742599888975,-0.8984572799204333,-0.8785262534892468,0.0,-0.6755720956289358,0.3731084326045754,-0.21507249678129503,-0.21339522187816723,0.2715542268582441,-0.1221689639389245,0.0,0.0010986890982910204,0.004269622963883844,0.00040242988939368375
1068,-0.05778545729822882,-0.1764403500791458,1.5542281596320755,0.5485089573643817,0.9137834603331687,-1.0148983692248492,0.0749579629507153,-0.10126386440759823,-0.1304969189887058,0.3560686581749721,0.3226937359298408,0.0035321403252539657,-4.658470763859806e-05,0.40861440937761523,0.017610235740375627,-0.13656739532719897,0.14546399727695997,-0.05250682159573372,0.0063567054142200366,0.00020378799072523078,0.05271571562500039,-0.00883847315072825,-0.0015532556533047917,-0.2075045396553939,-0.07033770727432667,-0.4613209258882313,-0.22346827492739865,0.08923975531324044,-0.06375972672127785,0.6963585618890364,-0.6296870310661167,1.2496953374126967,2.269484878749782,-0.9712014209088711,-1.0897045561134888,0.0,-0.7391310546594778,0.3906113634092269,-0.41476698553437213,-0.2806052912690114,0.22825677216967258,0.06270106200130943,0.0,0.001065747319357477,0.004274007772936675,0.0004039138781033909
1069,-0.05929836639542998,-0.17632839269227474,1.551703715739601,0.5473437229660821,0.9142724155148292,-1.0152884956792538,0.07811462946019075,-0.10468862820380762,-0.12379157455940647,0.36742238521825554,0.3174790443393249,-0.0038910855676816654,-4.658470763859806e-05,0.4043690503814765,0.020011525015927907,-0.13931231084344156,0.1440216783843579,-0.051098767937195484,0.007285049247301128,0.00020378799072523078,0.05272086755573241,-0.008817156216443365,-0.001551240887365354,-0.30259239552619577,0.022392260019348933,-0.50490642577832,-0.2330550253040724,0.09779445440397012,-0.07802801808437931,0.6313553687703749,-0.6849767002680658,1.3411157599907955,2.2708247775979262,-1.0429747717319164,-1.4846970711134666,0.0,-0.8491014766761585,0.4802746414737944,-0.5490022917526514,-0.28847386114112505,0.28162057479508923,0.18567525626202813,0.0,0.0010304221612992325,0.004263535874343742,0.0004029672722352657
1070,-0.06120792535986006,-0.17563758758885128,1.5491183942124538,0.5461376364615229,0.9148075797584834,-1.0157745935272342,0.08072686075196586,-0.10825951902197888,-0.11670203109438398,0.3787173403347987,0.31186600271609294,-0.012876190309492892,-4.658470763859806e-05,0.3994767545264176,0.022802863385133283,-0.14252570898037814,0.14262942176405308,-0.0492755355680182,0.008919636681682103,0.00020378799072523078,0.05272581755427985,-0.008795880356791463,-0.0015492303356357175,-0.3819251417777638,0.13816584980110744,-0.5170823782817772,-0.24122573213522497,0.1070365898300586,-0.09722296769357851,0.5224645193217595,-0.7142031261705554,1.4179582529028891,2.2590699814010233,-1.1226475629660215,-1.7970837593006717,0.0,-0.9784933709128998,0.5582871868670746,-0.6427020908486019,-0.2784610567182181,0.36465921925572437,0.32692891356220954,0.0,0.000990034312764064,0.004255320660611984,0.0004021244008152806
1071,-0.06300529708053286,-0.17461676590996886,1.5465973675323568,0.5449627160802661,0.9153676091713177,-1.016306971636963,0.08318502828973119,-0.1115864606064559,-0.10953604035898781,0.390258295612467,0.30574408261634545,-0.02186002177388229,-4.658470763859806e-05,0.39419747709577685,0.025460796238556488,-0.14622930216603153,0.14116859249456198,-0.04737210155232888,0.011581799259003758,0.00020378799072523078,0.052730540847932994,-0.008774508023146816,-0.0015472106309380252,-0.3594869087743407,0.20417147189447846,-0.5042229594145805,-0.2349922896059945,0.11200979748760369,-0.10647934356834507,0.49165069152746493,-0.6654115740892842,1.4332482413870669,2.3082717333056113,-1.224426815616047,-1.7968290949153798,0.0,-1.055892391248257,0.5316051511310126,-0.7407445273312063,-0.2921760659168799,0.38070010921277286,0.5324511254788528,0.0,0.0009446917491089461,0.004274616133568658,0.00040395505841087944
1072,-0.06418711676425642,-0.1736552842317076,1.544179446723335,0.5438913753421516,0.9159214395742542,-1.016802453139079,0.08612330640519729,-0.11433233667812938,-0.10268725504759978,0.40240738751835314,0.29911664291748613,-0.029480408088676174,-4.658470763859806e-05,0.38900756281944016,0.02744989230733174,-0.15047160351891503,0.1395829481667971,-0.045799320014869804,0.015365591132282395,0.00020378799072523078,0.0527352429087885,-0.00875294309827586,-0.0015451703629935267,-0.23637219832935974,0.1923030569502489,-0.483601064431479,-0.21427563689755522,0.11076995217348931,-0.09909976411770097,0.5876761633107342,-0.5491944095536524,1.3698049391410216,2.429903310166435,-1.325534269304886,-1.5241305337474162,0.0,-1.0380191356887045,0.39783311865591575,-0.8484899266504716,-0.31713995009913626,0.314567302119829,0.7567848254902139,0.0,0.0009404450411521101,0.004313135725151465,0.0004080678515207593
1073,-0.06468649691739145,-0.17290254738528063,1.541871282710683,0.5429278441312837,0.9164542007788571,-1.01722582505341,0.08976583981777975,-0.11651367983704816,-0.09641543249967639,0.4152536079354037,0.2922260234036715,-0.03554671399544641,-4.658470763859806e-05,0.3841974979288647,0.028707740248069873,-0.15506647170259416,0.13805578988159423,-0.04461125433246541,0.019871770933857197,0.00020378799072523078,0.05273995708966979,-0.008731202219555685,-0.0015431109045824247,-0.099879521575297,0.15055263133954394,-0.46164893789572164,-0.19271297779896107,0.10655596522120298,-0.08467734247416404,0.7285321458748459,-0.43628388059996726,1.2544083531536943,2.5693338857199177,-1.37817207207096,-1.2133035882460914,0.0,-0.9620466031754926,0.2515783812125741,-0.9190057574501475,-0.30544233273637955,0.2376214417285709,0.9012674610475826,0.0,0.0009428691310356192,0.0043483277250118725,0.0004119060789936436
1074,-0.0648417915456979,-0.17222370960196354,1.539689363530702,0.5420139862904306,0.916971627947149,-1.017605282001375,0.0938241790630266,-0.1184422898038866,-0.09073705391475322,0.42861970112449793,0.2853674875219811,-0.04073679066640224,-4.658470763859806e-05,0.3797398601216545,0.029615155564165167,-0.1596032456910312,0.13690979719640112,-0.04350744722229604,0.024367232303423393,0.00020378799072523078,0.05274467526413893,-0.008709274400662988,-0.0015410314654075439,-0.031060011258132174,0.13577230212153346,-0.4363990888391234,-0.1827779565511866,0.10348905076547364,-0.0758940422105878,0.8116962191244872,-0.3857354754366629,1.1357154120463968,2.6733120743318732,-1.3717551213634651,-1.038051615747761,0.0,-0.8915587228388054,0.1814894065627575,-0.9073865122906146,-0.22920654817238761,0.22076913826673125,0.89912369971799,0.0,0.0009436678765229066,0.004385717066333012,0.00041590237142617807
