cycle_id,phase,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation
1,0.13,-0.053970445244689115,-0.15180179428829074,1.5326302560807732,0.5241049910389318,0.9177240695586788,-1.0673380401210053,0.5474649118045125,-0.1102815951930939,-0.18281207299211366,0.21434355612400652,0.06400942544352917,0.14184187589838768,-4.658470763963836e-05,0.08287580046999675,0.05459544234006775,-0.20106583250461935,0.17940824481868917,0.2605778876198763,0.09820859797976536,0.0002037879907269,0.0500388493647863,-0.014827794305623159,-0.0020674194855888183
1,0.14,-0.05166085579746385,-0.15192220033098855,1.535341663374746,0.5258040795636193,0.9165891859350969,-1.0681172612205159,0.540564851471737,-0.10696849963499942,-0.18520517440322215,0.2106339622186557,0.07053319086179638,0.14555626576957936,-4.658470763963836e-05,0.07633544504153886,0.050587750802033774,-0.19182108252056937,0.18737031303068044,0.275252701217793,0.08793421776393553,0.0002037879907269,0.05005114890365226,-0.014819525488710582,-0.00206689881889898
1,0.15,-0.04941969251693571,-0.15122860579915523,1.5380843674092486,0.527687189287945,0.9155025352722714,-1.0692284698530765,0.5325657478382079,-0.10400701874675032,-0.18534659016931843,0.21372543895090326,0.07793941878781889,0.13986247437240498,-4.658470763963836e-05,0.06993879981687047,0.04582624179173972,-0.18515912403052623,0.19823222925937364,0.2905314709747749,0.08329793944008067,0.0002037879907269,0.050063694918688,-0.0148106114251188,-0.00206625080029143
1,0.16,-0.04762797230269218,-0.15103155269788351,1.5403179781533594,0.5297079505931691,0.9143694217359185,-1.0705537249091148,0.5249990892442803,-0.10120039171090842,-0.18174117837421344,0.22254008531442596,0.08333533268023945,0.12612291221023994,-4.658470763963836e-05,0.06137695357709675,0.041932980979631565,-0.17703045473974086,0.2037183035552818,0.3034131107301369,0.07830325754877174,0.0002037879907269,0.0500767620126152,-0.014801656571879988,-0.002065585531125912
1,0.17,-0.04630737569942314,-0.15063588093732658,1.5440744472628873,0.5317369489891829,0.9132393365070556,-1.0720811601517193,0.5163807512734979,-0.09923426941759718,-0.17819766321019614,0.23383348889383748,0.08433980399301251,0.10665120204946565,-4.658470763963836e-05,0.05326657429720097,0.03801822613432077,-0.16774205070989326,0.21105542632723517,0.3160323319155879,0.07171434630915931,0.0002037879907269,0.05008979807272819,-0.014792995236304302,-0.002064973270399987
1,0.18,-0.0422640233209265,-0.1519903746545977,1.546604439771373,0.5345846496308009,0.911951329583571,-1.0732690083537841,0.5099946373547489,-0.09280444365752083,-0.1767436510180943,0.24024975156721068,0.06701249934561274,0.08191705493012276,-4.658470763963836e-05,0.047993966129605395,0.03054199596632811,-0.15896938731648058,0.22083064716216838,0.32763760488957183,0.06079431464563704,0.0002037879907269,0.050103025503329124,-0.014782917242411465,-0.00206421246612072
1,0.19,-0.03361356135566147,-0.15579655347778268,1.5487638164597421,0.538368195658086,0.910660897924531,-1.0739566524905464,0.5077677034657133,-0.08187971243572224,-0.185271546532671,0.23890301141382553,0.037619935416949093,0.06362682470358513,-4.6584707639599146e-05,0.04456258643865327,0.019059521574889295,-0.14320973195319966,0.2280362607206975,0.3359272692817809,0.0405948363234928,0.0002037879907268,0.05011657649024005,-0.014771462974379708,-0.002063303148491723
1,0.2,-0.02335746689397061,-0.1586287298214957,1.5506851763518779,0.5426337896073701,0.9097570173005829,-1.0748454061497428,0.5063879142253344,-0.07059523683353915,-0.1960572219999836,0.242067751516619,0.01782752749790902,0.054534678931812165,-4.6584707639599146e-05,0.04124511301075579,0.004877588561702386,-0.13244465270742778,0.23763005786813357,0.3416543988266966,0.026709784755878145,0.0002037879907268,0.05013034388048114,-0.0147595862806889,-0.00206232614986584
1,0.21,-0.017253210639439305,-0.15883611634687336,1.5494191957453884,0.5466221257716373,0.9093762257783391,-1.076299853517521,0.5046430909842994,-0.0628079779549827,-0.19751978793053582,0.2562243503684476,0.00035883282884945035,0.04010022752314499,-4.6584707639599146e-05,0.03571577231183101,-0.004454276899179727,-0.1225033549379101,0.24949353785390566,0.34432827572110086,0.006179817640819325,0.0002037879907268,0.0501441850882999,-0.014749096555921208,-0.0020614737112557013
1,0.22,-0.014728250200301529,-0.15715540593355684,1.5460989688533573,0.5502554750710998,0.9093956952036043,-1.0780414481450702,0.5033595841525977,-0.05900649489095419,-0.19604016806176625,0.27844160246407407,-0.0024345032336863083,0.027464906254718986,-4.6584707639599146e-05,0.030110101301257998,-0.009472665583471623,-0.1121465751267959,0.26566970729249045,0.34310502004973753,-0.023335864940028966,0.0002037879907268,0.05015792172233479,-0.014739948057888693,-0.00206075102678584
